class,superclass,class_uri,superclass_uri
Hellenistic,King,https://www.wikidata.org/wiki/Q428995,https://www.wikidata.org/wiki/Q116
Herb,cnt:Plant,https://www.wikidata.org/wiki/Q207123,https://www.wikidata.org/wiki/Q756
Heroes,foaf:Person,https://www.wikidata.org/wiki/Q162244,http://xmlns.com/foaf/0.1/#term_Person
Human,foaf:Person,https://www.wikidata.org/wiki/Q5,http://xmlns.com/foaf/0.1/#term_Person
Insect,cnt:Animal,https://www.wikidata.org/wiki/Q1390,https://www.wikidata.org/wiki/Q729
Interieur-Furniture,cnt:Object,https://www.wikidata.org/wiki/Q14745,https://www.wikidata.org/wiki/Q488383
Jewellery,Ornaments,https://www.wikidata.org/wiki/Q161439,https://www.wikidata.org/wiki/Q18358253
Julio-ClaudianDynasty,Emperor,https://www.wikidata.org/wiki/Q192841,https://www.wikidata.org/wiki/Q39018
King,Human,https://www.wikidata.org/wiki/Q116,https://www.wikidata.org/wiki/Q5
Leaves,cnt:Plant,https://www.wikidata.org/wiki/Q33971,https://www.wikidata.org/wiki/Q756
LeonidDynasty,Emperor,http://www.dbis.cs.uni-frankfurt.de/cnt/id/leoniddynasty_person,https://www.wikidata.org/wiki/Q39018
Male,foaf:Person,https://www.wikidata.org/wiki/Q8441,http://xmlns.com/foaf/0.1/#term_Person
Mammal,cnt:Animal,https://www.wikidata.org/wiki/Q7377,https://www.wikidata.org/wiki/Q729
Mammal-Fish,cnt:Animal,http://www.dbis.cs.uni-frankfurt.de/cnt/id/mammal-fish_animal,https://www.wikidata.org/wiki/Q729
Metal,cnt:Object,https://www.wikidata.org/wiki/Q11426,https://www.wikidata.org/wiki/Q488383
Mollusca,cnt:Animal,https://www.wikidata.org/wiki/Q25326,https://www.wikidata.org/wiki/Q729
Mural,Architecture,https://www.wikidata.org/wiki/Q219423,https://www.wikidata.org/wiki/Q12271
MusicalInstruments,cnt:Object,https://www.wikidata.org/wiki/Q34379,https://www.wikidata.org/wiki/Q488383
MythicalCreature,cnt:Animal,https://www.wikidata.org/wiki/Q2239243,https://www.wikidata.org/wiki/Q729
MythologicalFigures,foaf:Person,https://www.wikidata.org/wiki/Q4271324,http://xmlns.com/foaf/0.1/#term_Person
NauticalObject,cnt:Object,https://www.wikidata.org/wiki/Q20820043,https://www.wikidata.org/wiki/Q488383
Ocre_object,cnt:Object,http://www.dbis.cs.uni-frankfurt.de/cnt/id/ocre_object_object,https://www.wikidata.org/wiki/Q488383
Ocre_subject,foaf:Person,http://www.dbis.cs.uni-frankfurt.de/cnt/id/ocre_subject_subject,http://xmlns.com/foaf/0.1/#term_Person
OdrysianDynasty,King,https://www.wikidata.org/wiki/Q870517,https://www.wikidata.org/wiki/Q116
Olympic,Deities,https://www.wikidata.org/wiki/Q101609,https://www.wikidata.org/wiki/Q178885
Ornaments,cnt:Object,https://www.wikidata.org/wiki/Q18358253,https://www.wikidata.org/wiki/Q488383
Other,Deities,http://www.dbis.cs.uni-frankfurt.de/cnt/id/other_subject,https://www.wikidata.org/wiki/Q178885
Personification,Deities,https://www.wikidata.org/wiki/Q207174,https://www.wikidata.org/wiki/Q178885
PersonToObject,cnt:Relation,http://www.dbis.cs.uni-frankfurt.de/cnt/idpersontoobject_relation,https://www.wikidata.org/wiki/Q930933
PersonToPerson,cnt:Relation,http://www.dbis.cs.uni-frankfurt.de/cnt/id/persontoperson_relation,https://www.wikidata.org/wiki/Q930933
PlantsParts,cnt:Plant,https://www.wikidata.org/wiki/Q20011319,https://www.wikidata.org/wiki/Q756
Ptolemies,Hellenistic,https://www.wikidata.org/wiki/Q131976,https://www.wikidata.org/wiki/Q428995
Reptile,cnt:Animal,https://www.wikidata.org/wiki/Q10811,https://www.wikidata.org/wiki/Q729
RiverGod,Deities,https://www.wikidata.org/wiki/Q1434313,https://www.wikidata.org/wiki/Q178885
Roman,foaf:Person,https://www.wikidata.org/wiki/Q2277,http://xmlns.com/foaf/0.1/#term_Person
SacrificialImplements,cnt:Object,https://www.wikidata.org/wiki/Q111475275,https://www.wikidata.org/wiki/Q488383
SapeianDynasty,King,http://www.dbis.cs.uni-frankfurt.de/cnt/id/sapeiandynasty_person,https://www.wikidata.org/wiki/Q116
Seleucides,Hellenistic,https://www.wikidata.org/wiki/Q705904,https://www.wikidata.org/wiki/Q428995
SeveranDynasty,Emperor,https://www.wikidata.org/wiki/Q321219,https://www.wikidata.org/wiki/Q39018
Shell,Shellfish,https://www.wikidata.org/wiki/Q213096,https://www.wikidata.org/wiki/Q6501235
Shellfish,cnt:Animal,https://www.wikidata.org/wiki/Q6501235,https://www.wikidata.org/wiki/Q729
Ship,NauticalObject,https://www.wikidata.org/wiki/Q11446,https://www.wikidata.org/wiki/Q20820043
ShipPart,Ship,https://www.wikidata.org/wiki/Q15688633,https://www.wikidata.org/wiki/Q11446
ShipType,Ship,https://www.wikidata.org/wiki/Q2235308,https://www.wikidata.org/wiki/Q11446
Staff,Tools,https://www.wikidata.org/wiki/Q10971443,https://www.wikidata.org/wiki/Q39546
Statues,cnt:Object,https://www.wikidata.org/wiki/Q179700,https://www.wikidata.org/wiki/Q488383
Stone,cnt:Object,https://www.wikidata.org/wiki/Q22731,https://www.wikidata.org/wiki/Q488383
Tetrarchy,Emperor,https://www.wikidata.org/wiki/Q174450,https://www.wikidata.org/wiki/Q39018
TheodosianDynasty,Emperor,https://www.wikidata.org/wiki/Q854070,https://www.wikidata.org/wiki/Q39018
Tools,cnt:Object,https://www.wikidata.org/wiki/Q39546,https://www.wikidata.org/wiki/Q488383
Tree,cnt:Plant,https://www.wikidata.org/wiki/Q10884,https://www.wikidata.org/wiki/Q756
Underworld,Deities,https://www.wikidata.org/wiki/Q1521549,https://www.wikidata.org/wiki/Q178885
Usurper,Human,https://www.wikidata.org/wiki/Q1136723,https://www.wikidata.org/wiki/Q5
ValentinianDynasty,Emperor,https://www.wikidata.org/wiki/Q1324480,https://www.wikidata.org/wiki/Q39018
VehicelObjects,cnt:Object,https://www.wikidata.org/wiki/Q42889,https://www.wikidata.org/wiki/Q488383
Vessel-Jar,cnt:Object,https://www.wikidata.org/wiki/Q766983,https://www.wikidata.org/wiki/Q488383
Worm,cnt:Animal,https://www.wikidata.org/wiki/Q47253,https://www.wikidata.org/wiki/Q729
Wreath,Headdress,https://www.wikidata.org/wiki/Q14127146,https://www.wikidata.org/wiki/Q28972621
YearofFourEmperors,Emperor,https://www.wikidata.org/wiki/Q470596,https://www.wikidata.org/wiki/Q39018
